City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,al ghayzah,16.2079,52.176,298.98,86,19,3.43,YE,1728856977
248,st. john's,47.5649,-52.7093,282.9,86,75,9.77,CA,1728856737
249,itoman,26.1247,127.6694,298.16,78,20,2.57,JP,1728856980
250,howrah,22.5892,88.3103,301.15,78,40,0.0,IN,1728856981
251,babu,24.4167,111.5167,298.74,69,100,1.07,CN,1728856982
252,chhor,25.5167,69.7667,301.03,52,92,2.82,PK,1728856983
253,tuensang,26.2833,94.8333,287.49,97,21,1.63,IN,1728856985
254,selfoss,63.9331,-20.9971,272.62,44,65,4.88,IS,1728856986
255,bad bevensen,53.0833,10.5833,280.64,80,100,4.92,DE,1728856987
256,kingston,17.997,-76.7936,305.68,62,20,8.23,JM,1728856837
257,namtsy,62.7161,129.6658,266.16,95,100,1.46,RU,1728856990
258,paulo afonso,-9.4061,-38.2147,306.31,31,0,5.14,BR,1728856991
259,uyskoye,54.3775,60.0047,267.37,91,28,2.09,RU,1728856992
260,uturoa,-16.7333,-151.4333,298.02,69,53,7.29,PF,1728856994
261,madimba,-10.4,40.3333,296.4,89,5,1.61,TZ,1728856995
262,holualoa,19.6228,-155.9522,300.68,77,12,0.45,US,1728856996
263,nacala,-14.5428,40.6728,296.12,91,73,1.7,MZ,1728856998
264,belmonte,-15.8631,-38.8828,297.61,88,44,2.84,BR,1728856999
265,broome,42.2506,-75.833,284.05,86,100,2.06,US,1728857000
266,shiyan,32.6475,110.7781,287.75,91,0,1.69,CN,1728857002
267,ulsteinvik,62.3432,5.8487,278.32,90,100,2.2,NO,1728857004
268,wusong,30.95,117.7833,291.74,87,100,1.99,CN,1728857006
269,copala,16.65,-98.9833,300.89,74,73,2.05,MX,1728857007
270,port douglas,-16.4833,145.4667,297.51,73,2,2.59,AU,1728856908
271,langsa,4.4683,97.9683,296.56,97,100,0.66,ID,1728856719
272,tlapehuala,18.2167,-100.5167,302.0,62,8,0.33,MX,1728857010
273,thal,35.4791,72.2439,279.53,64,0,1.52,PK,1728857012
274,malango,-2.9627,119.9001,292.53,99,98,0.93,ID,1728857013
275,constantia,44.1833,28.65,284.65,68,98,4.3,RO,1728857014
276,manaure,11.7751,-72.4445,305.48,59,99,6.44,CO,1728857015
277,nemuro,43.3236,145.575,283.27,63,0,1.9,JP,1728857018
278,ketchikan,55.3422,-131.6461,285.56,79,100,2.86,US,1728857020
279,envira,-7.3,-70.2167,305.18,47,49,2.23,BR,1728856989
280,badger,64.8,-147.5333,278.14,82,100,0.9,US,1728857023
281,abashiri,44.0213,144.2697,281.39,65,0,3.52,JP,1728857024
282,baie-saint-paul,47.4411,-70.4986,283.23,70,100,1.96,CA,1728857025
283,quellon,-43.1167,-73.6167,283.82,86,98,2.06,CL,1728857026
284,radomyshl,50.4961,29.2291,282.85,60,94,5.57,UA,1728857028
285,noosa heads,-26.3833,153.15,294.09,61,100,5.0,AU,1728856807
286,smithers,54.7804,-127.1743,283.33,93,100,2.06,CA,1728857030
287,nyurba,63.2842,118.3319,258.52,98,92,1.83,RU,1728857032
288,nuku'alofa,-21.1333,-175.2,300.34,89,75,5.14,TO,1728857033
289,shatura,55.5725,39.5368,277.22,52,92,5.34,RU,1728857035
290,fuglafjordur,62.244,-6.814,278.3,65,93,9.85,FO,1728857036
291,east london,-33.0153,27.9116,292.45,90,79,4.88,ZA,1728856831
292,richards bay,-28.783,32.0377,293.83,95,3,3.05,ZA,1728857039
293,nuuk,64.1835,-51.7216,275.86,69,100,1.58,GL,1728856773
294,san andres,12.5847,-81.7006,302.16,70,20,5.66,CO,1728857043
295,ribas do rio pardo,-20.4431,-53.7592,303.22,38,28,3.26,BR,1728857044
296,isangel,-19.55,169.2667,298.21,65,75,3.6,VU,1728857045
297,diego de almagro,-26.3667,-70.05,298.49,19,4,3.38,CL,1728857046
298,saudarkrokur,65.7461,-19.6394,269.84,59,0,2.11,IS,1728857048
299,qamdo,31.1667,97.2333,273.35,73,16,0.49,CN,1728857049
300,tulun,54.5611,100.5792,268.19,65,100,1.47,RU,1728857050
301,anacapri,40.5558,14.2136,293.62,63,3,1.98,IT,1728857052
302,mirny,62.5353,113.9611,263.06,92,86,3.21,RU,1728857053
303,dumai,1.6833,101.45,296.15,97,100,1.88,ID,1728857055
304,kloulklubed,7.0419,134.2556,302.29,68,33,3.35,PW,1728857056
305,punta arenas,-53.15,-70.9167,284.21,62,75,8.23,CL,1728856799
306,mareeba,-17.0,145.4333,296.62,74,28,1.96,AU,1728857059
307,paracuru,-3.41,-39.0306,299.04,79,63,4.71,BR,1728857060
308,woodlake,37.4211,-77.6793,296.96,61,0,4.12,US,1728857062
309,bandundu,-3.3167,17.3667,296.82,85,100,2.06,CD,1728857063
310,luebo,-5.35,21.4167,296.36,80,77,1.11,CD,1728857064
311,pisco,-13.7,-76.2167,293.18,68,0,7.2,PE,1728857065
312,la libertad,-2.2333,-80.9,295.96,83,40,4.63,EC,1728857067
313,petauke,-14.2426,31.3253,298.02,39,25,4.62,ZM,1728857068
314,atherton,53.5237,-2.4935,281.07,82,100,0.89,GB,1728857071
315,baikonur,45.6167,63.3167,275.65,93,92,5.97,KZ,1728857073
316,oum hadjer,13.2954,19.6966,301.64,58,99,3.03,TD,1728857075
317,weno,7.4515,151.8468,301.12,89,100,0.0,FM,1728857076
318,ramnagar,29.4,79.1167,293.44,74,63,1.5,IN,1728857078
319,isla vista,34.4133,-119.861,299.35,66,1,2.86,US,1728857049
320,sovetskaya gavan',48.9723,140.2878,278.01,43,42,2.15,RU,1728857081
321,soderhamn,61.3037,17.0592,278.96,97,100,1.55,SE,1728857082
322,jaru,-10.4389,-62.4664,306.88,34,75,1.55,BR,1728857059
323,sola,-13.8833,167.55,301.52,79,75,3.09,VU,1728857085
324,codrington,-38.2667,141.9667,287.56,80,18,7.75,AU,1728857086
325,chibougamau,49.9168,-74.3659,276.94,87,100,2.06,CA,1728857087
326,baise city,23.8997,106.6133,296.63,83,98,1.16,CN,1728857089
327,port-vila,-17.7338,168.3219,297.93,78,100,7.2,VU,1728857090
328,narvik,68.4384,17.4272,279.15,95,48,1.92,NO,1728857092
329,egilsstadir,65.2653,-14.3948,271.1,74,100,3.09,IS,1728857093
330,lethem,3.3803,-59.7968,307.18,55,20,5.14,GY,1728857094
331,fisterra,42.9049,-9.2629,291.19,83,100,2.98,ES,1728857096
332,mirnyy,62.5353,113.9611,263.06,92,86,3.21,RU,1728857097
333,erenhot,43.6475,111.9767,284.54,52,0,10.5,CN,1728857099
334,mar del plata,-38.0023,-57.5575,288.68,80,6,4.47,AR,1728856978
335,hastings,50.8552,0.5729,283.01,38,100,4.57,GB,1728857101
336,conception bay south,47.4999,-52.9981,282.77,87,61,9.28,CA,1728856809
337,zeya,53.75,127.2667,274.72,68,100,2.32,RU,1728857104
338,punaauia,-17.6333,-149.6,300.95,61,0,9.26,PF,1728857105
339,tura,25.5198,90.2201,293.36,93,3,1.7,IN,1728857106
340,czarnkow,52.9021,16.5641,284.36,76,100,9.63,PL,1728857109
341,wainwright,52.839,-110.8572,287.42,30,5,7.06,CA,1728857110
342,williams lake,52.1415,-122.1445,289.91,68,75,4.63,CA,1728857112
343,date,42.4681,140.8681,284.51,70,0,2.18,JP,1728857113
344,petawawa,45.9001,-77.3328,281.92,52,10,1.34,CA,1728857115
345,debre tabor,11.85,38.0167,284.9,82,80,0.38,ET,1728857116
346,tarko-sale,64.9225,77.785,273.19,87,97,6.46,RU,1728857117
347,ad dilinjat,30.8279,30.5363,294.95,86,0,1.5,EG,1728857119
348,ad dabbah,18.05,30.95,307.19,23,100,1.84,SD,1728857120
349,xichang,27.8964,102.2634,287.92,94,100,2.15,CN,1728857122
350,peterhead,57.5058,-1.7981,280.6,58,100,4.05,GB,1728857123
351,ciudad lazaro cardenas,17.9583,-102.2,301.64,74,44,4.45,MX,1728856984
352,ajdabiya,30.7554,20.2263,295.43,63,0,5.78,LY,1728857126
353,ulladulla,-35.35,150.4667,292.99,47,83,2.11,AU,1728857127
354,moab,38.5733,-109.5498,303.18,17,100,1.45,US,1728857066
355,bikenibeu village,1.3673,173.1241,304.13,70,20,5.66,KI,1728857131
356,vila do maio,15.1333,-23.2167,300.4,81,8,3.24,CV,1728857133
357,hithadhoo,-0.6,73.0833,301.21,74,100,4.7,MV,1728857097
358,masally,39.0,48.6667,289.3,94,100,2.52,AZ,1728857135
359,bonthe,7.5264,-12.505,298.86,88,100,2.81,SL,1728857136
360,westport,41.1415,-73.3579,291.9,77,100,5.66,US,1728857138
361,tselinnoye,53.0833,85.6667,268.04,92,14,1.71,RU,1728857139
362,merizo village,13.2658,144.6691,302.03,89,100,3.16,GU,1728857140
